"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 11:06:24 GMT 2024","Sat Sep 07 11:06:27 GMT 2024","3106","chromium","02-demo-setup-teardown/test/demo-setup-teardown.spec.ts","","","","Test case 2: Get all product names",""
"passed","Sat Sep 07 11:06:35 GMT 2024","Sat Sep 07 11:06:43 GMT 2024","7516","chromium","03-demo-pom-fixture/test/demo-pom.spec.ts","","","","Test case: Demo POM",""
"passed","Sat Sep 07 11:06:55 GMT 2024","Sat Sep 07 11:07:01 GMT 2024","6158","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product ZARA COAT 3",""
"passed","Sat Sep 07 11:06:49 GMT 2024","Sat Sep 07 11:06:55 GMT 2024","5792","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName3",""
"passed","Sat Sep 07 11:06:43 GMT 2024","Sat Sep 07 11:06:49 GMT 2024","5787","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName1",""
"passed","Sat Sep 07 11:06:27 GMT 2024","Sat Sep 07 11:06:35 GMT 2024","7968","chromium","03-demo-pom-fixture/test/demo-fixture.spec.ts","","","","Test case: Demo fixture",""
"passed","Sat Sep 07 11:07:01 GMT 2024","Sat Sep 07 11:07:07 GMT 2024","5791","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product IPHONE 13 PRO",""
"passed","Sat Sep 07 11:06:19 GMT 2024","Sat Sep 07 11:06:24 GMT 2024","5237","setup","03-demo-pom-fixture/dependencies-setup.ts","","","","Dependencies setup",""
"passed","Sat Sep 07 11:07:07 GMT 2024","Sat Sep 07 11:07:07 GMT 2024","66","teardown","03-demo-pom-fixture/dependencies-teardown.ts","","","","Clean up",""
